FILE_TYPE,DISCHARGE_MONTH,PREV_YR_AVG,#_RECDS_EXPECTED_(TARGET),#_RECDS_LOADED,SHORTAGE,PCT_OF_PREVYRAVG_SUBMTD_,EXCEPTION_ON_FILE_W/SPARCS,EXTENSION_GRANTED,FILE_LAST_SUBMTD,PFI,AUDIT_YEAR
ED,November,,1064,"1,162",,0.87,,,2020   JAN,000042,2019
ED,December,,998,"1,215",,0.91,,,2021   MAR,000042,2019
IP,January,377,301,403,,1.06,,,2021   JUN,000042,2019
IP,February,,282,364,,0.96,,,2021   JUN,000042,2019
IP,March,,301,381,,1.01,,,2021   JUN,000042,2019
IP,April,,301,363,,0.96,,,2021   JUN,000042,2019
IP,May,,301,371,,0.98,,,2021   JUN,000042,2019
IP,June,,301,352,,0.93,,,2021   JUN,000042,2019
IP,July,,301,381,,1.01,,,2021   MAR,000042,2019
IP,August,,301,378,,1.0,,,2021   MAR,000042,2019
IP,September,,301,322,,0.85,,,2021   MAR,000042,2019
AS,January,366,292,390,,1.06,,,2022   MAY,009816,2022
AS,February,,274,441,,1.2,,,2022   JUN,009816,2022
AS,March,,292,439,,1.19,,,2022   JUN,009816,2022
AS,April,,292,394,,1.07,,,2022   MAY,009816,2022
AS,May,,292,386,,1.05,,,2022   JUN,009816,2022
AS,June,,292,453,,1.23,,,2022   JUL,009816,2022
AS,July,,292,348,,0.95,,,2022   AUG,009816,2022
AS,August,,292,417,,1.13,,,2023   FEB,009816,2022
AS,September,,292,394,,1.07,,,2022   DEC,009816,2022
AS,October,,292,412,,1.12,,,2022   DEC,009816,2022
AS,November,,292,425,,1.16,,,2023   JAN,009816,2022
AS,December,,274,372,,1.01,,,2023   FEB,009816,2022
AS,January,92,73,99,,1.07,,,2021   FEB,000848,2020
AS,February,,69,73,,0.79,,,2021   FEB,000848,2020
AS,March,,73,72,1,0.78,YES,,2021   FEB,000848,2020
AS,April,,73,29,44,0.31,YES,,2021   FEB,000848,2020
AS,May,,73,61,12,0.66,YES,,2020   JUL,000848,2020
AS,June,,73,110,,1.19,,,2021   FEB,000848,2020
AS,July,,73,106,,1.15,,,2021   FEB,000848,2020
AS,August,,73,77,,0.83,,,2021   FEB,000848,2020
AS,September,,73,115,,1.25,,,2021   FEB,000848,2020
AS,October,,73,106,,1.15,,,2021   FEB,000848,2020
AS,November,,73,134,,1.45,,,2021   OCT,000848,2020
AS,December,,69,96,,1.04,,,2021   MAR,000848,2020
IP,January,324,259,312,,0.96,,,2020   APR,000848,2020
IP,February,,243,268,,0.82,,,2020   MAY,000848,2020
IP,March,,259,313,,0.96,,,2020   JUN,000848,2020
IP,April,,259,310,,0.95,,,2020   JUN,000848,2020
IP,May,,259,326,,1.0,,,2020   JUL,000848,2020
IP,June,,259,299,,0.92,,,2020   AUG,000848,2020
IP,July,,259,333,,1.02,,,2020   SEP,000848,2020
IP,August,,259,354,,1.09,,,2020   OCT,000848,2020
IP,September,,259,143,116,0.44,NO,,2021   JAN,000848,2020
IP,October,,259,345,,1.06,,,2021   FEB,000848,2020
IP,November,,259,293,,0.9,,,2021   MAR,000848,2020
IP,December,,243,343,,1.05,,,2021   FEB,000848,2020
OP,January,1381,1104,"1,420",,1.02,,,2021   MAY,000848,2020
OP,February,,1035,"1,173",,0.84,,,2021   MAY,000848,2020
OP,March,,1104,847,257,0.61,YES,,2021   MAY,000848,2020
OP,April,,1104,473,631,0.34,YES,,2021   MAY,000848,2020
OP,May,,1104,787,317,0.56,YES,,2021   MAY,000848,2020
OP,June,,1104,"1,421",,1.02,,,2021   MAY,000848,2020
OP,July,,1104,"1,395",,1.01,,,2021   MAY,000848,2020
OP,August,,1104,"1,136",,0.82,,,2021   MAY,000848,2020
OP,September,,1104,"1,453",,1.05,,,2021   MAY,000848,2020
AS,January,367,293,233,60,0.63,YES,,2022   JUN,000330,2021
AS,February,,275,294,,0.8,,,2021   APR,000330,2021
AS,March,,293,425,,1.15,,,2022   JUN,000330,2021
AS,April,,293,421,,1.14,,,2022   JUN,000330,2021
AS,May,,293,450,,1.22,,,2022   JUN,000330,2021
AS,June,,293,438,,1.19,,,2022   JUN,000330,2021
AS,July,,293,408,,1.11,,,2021   SEP,000330,2021
AS,August,,293,484,,1.31,,,2022   JUN,000330,2021
AS,September,,293,326,,0.88,,,2022   APR,000330,2021
AS,October,,293,374,,1.01,,,2022   MAY,000330,2021
AS,November,,293,357,,0.97,,,2022   MAY,000330,2021
AS,December,,275,329,,0.89,,,2022   MAY,000330,2021
ED,January,1213,970,"1,104",,0.91,,,2022   JUN,000330,2021
ED,February,,909,"1,010",,0.83,,,2021   MAY,000330,2021
ED,March,,970,"1,216",,1.0,,,2022   JUN,000330,2021
ED,April,,970,"1,239",,1.02,,,2022   JUN,000330,2021
ED,May,,970,"1,383",,1.14,,,2022   JUN,000330,2021
ED,June,,970,"1,455",,1.19,,,2021   SEP,000330,2021
ED,July,,970,"1,496",,1.23,,,2022   JUN,000330,2021
ED,August,,970,"1,561",,1.28,,,2022   JUN,000330,2021
ED,September,,970,"1,434",,1.18,,,2022   MAY,000330,2021
ED,October,,970,"1,458",,1.2,,,2022   MAY,000330,2021
ED,November,,970,"1,311",,1.08,,,2022   JUN,000330,2021
ED,December,,909,"1,414",,1.16,,,2022   JUN,000330,2021
IP,January,191,152,191,,1.0,,,2021   DEC,000330,2021
IP,February,,143,199,,1.04,,,2021   APR,000330,2021
IP,March,,152,200,,1.04,,,2021   DEC,000330,2021
IP,April,,152,166,,0.86,,,2021   DEC,000330,2021
IP,May,,152,183,,0.95,,,2021   DEC,000330,2021
IP,June,,152,187,,0.97,,,2021   AUG,000330,2021
IP,July,,152,218,,1.14,,,2021   DEC,000330,2021
IP,August,,152,224,,1.17,,,2021   DEC,000330,2021
IP,September,,152,213,,1.11,,,2022   MAY,000330,2021
AS,January,589,471,567,,0.96,,,2022   MAR,006758,2022
AS,February,,441,574,,0.97,,,2022   APR,006758,2022
AS,March,,471,683,,1.15,,,2022   MAY,006758,2022
AS,April,,471,597,,1.01,,,2022   JUN,006758,2022
AS,May,,471,594,,1.0,,,2022   JUL,006758,2022
AS,June,,471,607,,1.03,,,2022   AUG,006758,2022
AS,July,,471,513,,0.87,,,2022   SEP,006758,2022
AS,August,,471,661,,1.12,,,2022   OCT,006758,2022
AS,September,,471,591,,1.0,,,2022   NOV,006758,2022
AS,October,,471,619,,1.05,,,2022   DEC,006758,2022
AS,November,,471,545,,0.92,,,2023   JAN,006758,2022
AS,December,,441,578,,0.98,,,2023   FEB,006758,2022
AS,January,316,252,354,,1.12,,,2022   MAR,000192,2021
AS,February,,237,328,,1.03,,,2021   MAY,000192,2021
AS,March,,252,388,,1.22,,,2021   JUN,000192,2021
AS,April,,252,391,,1.23,,,2022   MAR,000192,2021
AS,May,,252,404,,1.27,,,2022   MAR,000192,2021
AS,June,,252,446,,1.41,,,2022   JAN,000192,2021
AS,July,,252,388,,1.22,,,2022   JAN,000192,2021
AS,August,,252,398,,1.25,,,2021   DEC,000192,2021
AS,September,,252,416,,1.31,,,2022   FEB,000192,2021
AS,October,,252,424,,1.34,,,2022   MAR,000192,2021
AS,November,,252,401,,1.26,,,2022   MAR,000192,2021
AS,December,,237,392,,1.24,,,2022   MAR,000192,2021
ED,January,1427,1141,"1,396",,0.97,,,2022   MAR,000192,2021
ED,February,,1070,"1,190",,0.83,,,2022   MAR,000192,2021
ED,March,,1141,"1,501",,1.05,,,2022   MAR,000192,2021
ED,April,,1141,"1,608",,1.12,,,2022   MAR,000192,2021
ED,May,,1141,"1,646",,1.15,,,2022   APR,000192,2021
ED,June,,1141,"1,915",,1.34,,,2022   JAN,000192,2021
ED,July,,1141,"2,027",,1.42,,,2022   JAN,000192,2021
ED,August,,1141,"1,945",,1.36,,,2022   APR,000192,2021
ED,September,,1141,"1,789",,1.25,,,2022   APR,000192,2021
ED,October,,1141,"1,884",,1.32,,,2022   MAR,000192,2021
ED,November,,1141,"1,705",,1.19,,,2022   APR,000192,2021
ED,December,,1070,"1,819",,1.27,,,2022   MAY,000192,2021
IP,January,465,372,501,,1.07,,,2022   MAR,000192,2021
IP,February,,348,406,,0.87,,,2021   JUL,000192,2021
IP,March,,372,487,,1.04,,,2022   MAR,000192,2021
IP,April,,372,475,,1.02,,,2022   MAR,000192,2021
IP,May,,372,497,,1.06,,,2022   MAR,000192,2021
IP,June,,372,474,,1.01,,,2022   MAR,000192,2021
IP,July,,372,507,,1.09,,,2022   JAN,000192,2021
IP,August,,372,506,,1.08,,,2022   MAR,000192,2021
IP,September,,372,504,,1.08,,,2021   DEC,000192,2021
AS,January,786,628,793,,1.0,,,2020   FEB,006624,2019
AS,February,,589,791,,1.0,,,2020   FEB,006624,2019
AS,March,,628,836,,1.06,,,2020   FEB,006624,2019
AS,April,,628,935,,1.18,,,2020   FEB,006624,2019
AS,May,,628,922,,1.17,,,2020   FEB,006624,2019
AS,June,,628,847,,1.07,,,2020   FEB,006624,2019
AS,July,,628,852,,1.08,,,2020   JUN,006624,2019
AS,August,,628,836,,1.06,,,2020   JUN,006624,2019
AS,September,,628,730,,0.92,,,2020   JUN,006624,2019
AS,October,,628,904,,1.15,,,2020   JUN,006624,2019
AS,November,,628,840,,1.06,,,2020   JUN,006624,2019
AS,December,,589,765,,0.97,,,2020   JUN,006624,2019
AS,January,432,345,196,149,0.45,YES,,2021   NOV,000599,2021
AS,February,,324,274,50,0.63,YES,,2022   JAN,000599,2021
AS,March,,345,626,,1.44,,,2021   DEC,000599,2021
AS,April,,345,605,,1.4,,,2021   NOV,000599,2021
AS,May,,345,623,,1.44,,,2022   MAR,000599,2021
AS,June,,345,618,,1.43,,,2021   OCT,000599,2021
AS,July,,345,547,,1.26,,,2021   NOV,000599,2021
AS,August,,345,448,,1.03,,,2021   NOV,000599,2021
AS,September,,345,483,,1.11,,,2022   FEB,000599,2021
AS,October,,345,538,,1.24,,,2022   JUL,000599,2021
AS,November,,345,560,,1.29,,,2022   FEB,000599,2021
AS,December,,324,403,,0.93,,,2022   MAY,000599,2021
ED,January,2379,1903,"2,417",,1.01,,,2022   JAN,000599,2021
ED,February,,1784,"1,637",147,0.68,YES,,2022   JAN,000599,2021
ED,March,,1903,"2,096",,0.88,,,2022   OCT,000599,2021
ED,April,,1903,"2,233",,0.93,,,2021   DEC,000599,2021
ED,May,,1903,"2,343",,0.98,,,2022   JAN,000599,2021
ED,June,,1903,"2,369",,0.99,,,2021   DEC,000599,2021
ED,July,,1903,"2,623",,1.1,,,2022   MAR,000599,2021
ED,August,,1903,"2,548",,1.07,,,2022   MAR,000599,2021
ED,September,,1903,"2,796",,1.17,,,2022   NOV,000599,2021
ED,October,,1903,"2,792",,1.17,,,2022   SEP,000599,2021
ED,November,,1903,"2,651",,1.11,,,2022   JUL,000599,2021
ED,December,,1784,"2,690",,1.13,,,2022   AUG,000599,2021
IP,January,946,756,998,,1.05,,,2021   DEC,000599,2021
IP,February,,709,874,,0.92,,,2022   DEC,000599,2021
IP,March,,756,966,,1.02,,,2023   JAN,000599,2021
IP,April,,756,868,,0.91,,,2022   DEC,000599,2021
IP,May,,756,"1,015",,1.07,,,2021   DEC,000599,2021
IP,June,,756,965,,1.02,,,2022   APR,000599,2021
IP,July,,756,"1,005",,1.06,,,2022   JUN,000599,2021
IP,August,,756,"1,149",,1.21,,,2022   APR,000599,2021
IP,September,,756,"1,007",,1.06,,,2022   JAN,000599,2021
AS,January,487,389,348,41,0.71,NO,,2023   MAR,001626,2023
AS,February,,365,211,154,0.43,NO,,2023   MAR,001626,2023
AS,January,314,251,463,,1.47,,,2021   DEC,009410,2021
AS,February,,235,478,,1.52,,,2022   MAY,009410,2021
AS,March,,251,502,,1.59,,,2022   JUN,009410,2021
AS,April,,251,430,,1.36,,,2022   AUG,009410,2021
AS,May,,251,405,,1.28,,,2022   NOV,009410,2021
AS,June,,251,518,,1.64,,,2022   NOV,009410,2021
AS,July,,251,445,,1.41,,,2022   OCT,009410,2021
AS,August,,251,464,,1.47,,,2022   NOV,009410,2021
AS,September,,251,400,,1.27,,,2022   JUL,009410,2021
AS,October,,251,498,,1.58,,,2022   DEC,009410,2021
AS,November,,251,464,,1.47,,,2022   AUG,009410,2021
AS,December,,235,472,,1.5,,,2022   JUN,009410,2021
AS,January,72,57,67,,0.93,,,2022   JUL,009201,2021
AS,February,,54,50,4,0.69,NO,,2021   JUN,009201,2021
AS,March,,57,78,,1.08,,,2021   APR,009201,2021
AS,April,,57,76,,1.05,,,2021   JUN,009201,2021
AS,May,,57,99,,1.37,,,2022   JUN,009201,2021
AS,June,,57,82,,1.13,,,2022   JUL,009201,2021
AS,July,,57,112,,1.55,,,2022   MAR,009201,2021
AS,August,,57,116,,1.61,,,2022   MAR,009201,2021
AS,September,,57,77,,1.06,,,2022   JUL,009201,2021
AS,October,,57,89,,1.23,,,2022   JUL,009201,2021
AS,November,,57,79,,1.09,,,2022   MAR,009201,2021
AS,December,,54,83,,1.15,,,2022   JUL,009201,2021
OP,January,880,704,"1,017",,1.15,,,2022   JUL,009201,2021
OP,February,,660,906,,1.02,,,2022   JUL,009201,2021
OP,March,,704,"1,265",,1.43,,,2022   JUL,009201,2021
OP,April,,704,"1,352",,1.53,,,2022   JUL,009201,2021
OP,May,,704,"1,269",,1.44,,,2022   JUL,009201,2021
OP,June,,704,"1,389",,1.57,,,2022   JUL,009201,2021
OP,July,,704,"1,278",,1.45,,,2022   MAR,009201,2021
OP,August,,704,"1,244",,1.41,,,2022   JUL,009201,2021
OP,September,,704,"1,231",,1.39,,,2022   JUL,009201,2021
OP,October,,704,"1,297",,1.47,,,2022   JUL,009201,2021
OP,November,,704,"1,216",,1.38,,,2022   JUL,009201,2021
OP,December,,660,"1,052",,1.19,,,2022   JUL,009201,2021
AS,January,135,108,5,103,0.03,NO,,2022   APR,000829,2022
AS,February,,101,3,98,0.02,NO,,2022   MAY,000829,2022
AS,March,,108,5,103,0.03,NO,,2022   JUN,000829,2022
AS,April,,108,4,104,0.02,NO,,2022   JUN,000829,2022
AS,May,,108,12,96,0.08,NO,,2022   JUL,000829,2022
AS,June,,108,6,102,0.04,NO,,2022   AUG,000829,2022
AS,July,,108,5,103,0.03,NO,,2022   OCT,000829,2022
AS,August,,108,4,104,0.02,NO,,2022   OCT,000829,2022
AS,September,,108,11,97,0.08,NO,,2022   DEC,000829,2022
AS,October,,108,4,104,0.02,NO,,2022   DEC,000829,2022
AS,November,,108,4,104,0.02,NO,,2023   FEB,000829,2022
AS,December,,101,6,95,0.04,NO,,2023   FEB,000829,2022
ED,January,2275,1820,0,1820,0.0,NO,,,000829,2022
ED,February,,1706,0,1706,0.0,NO,,,000829,2022
ED,March,,1820,0,1820,0.0,NO,,,000829,2022
ED,April,,1820,0,1820,0.0,NO,,,000829,2022
ED,May,,1820,0,1820,0.0,NO,,,000829,2022
ED,June,,1820,0,1820,0.0,NO,,,000829,2022
ED,July,,1820,0,1820,0.0,NO,,,000829,2022
ED,August,,1820,0,1820,0.0,NO,,,000829,2022
ED,September,,1820,0,1820,0.0,NO,,,000829,2022
ED,October,,1820,1,1819,0.0,NO,,2022   DEC,000829,2022
ED,November,,1820,0,1820,0.0,NO,,,000829,2022
ED,December,,1706,0,1706,0.0,NO,,,000829,2022
IP,January,890,712,769,,0.86,,,2022   APR,000829,2022
IP,February,,667,708,,0.79,,,2022   APR,000829,2022
IP,March,,712,858,,0.96,,,2022   MAY,000829,2022
IP,April,,712,893,,1.0,,,2022   JUN,000829,2022
IP,May,,712,0,712,0.0,NO,,,000829,2022
IP,June,,712,855,,0.96,,,2022   AUG,000829,2022
IP,July,,712,775,,0.87,,,2022   SEP,000829,2022
IP,August,,712,808,,0.9,,,2022   OCT,000829,2022
IP,September,,712,800,,0.89,,,2022   NOV,000829,2022
AS,January,1033,826,"1,123",,1.08,,,2023   FEB,000409,2020
AS,February,,774,975,,0.94,,,2022   MAY,000409,2020
AS,March,,826,713,113,0.69,YES,,2022   FEB,000409,2020
AS,April,,826,338,488,0.32,YES,,2022   FEB,000409,2020
AS,May,,826,783,43,0.75,YES,,2022   AUG,000409,2020
AS,June,,826,952,,0.92,,,2022   JUL,000409,2020
AS,July,,826,"1,021",,0.98,,,2022   FEB,000409,2020
AS,August,,826,920,,0.89,,,2022   AUG,000409,2020
AS,September,,826,960,,0.92,,,2022   MAY,000409,2020
AS,October,,826,"1,142",,1.1,,,2022   SEP,000409,2020
AS,November,,826,"1,005",,0.97,,,2022   FEB,000409,2020
AS,December,,774,"1,011",,0.97,,,2022   SEP,000409,2020
ED,January,2933,2346,"3,052",,1.04,,,2022   DEC,000409,2020
ED,February,,2199,"2,588",,0.88,,,2023   MAR,000409,2020
ED,March,,2346,"2,189",157,0.74,YES,,2022   AUG,000409,2020
ED,April,,2346,"1,368",978,0.46,YES,,2022   SEP,000409,2020
ED,May,,2346,"1,750",596,0.59,YES,,2022   JUL,000409,2020
ED,June,,2346,"2,047",299,0.69,YES,,2022   FEB,000409,2020
ED,July,,2346,"2,603",,0.88,,,2022   JUN,000409,2020
ED,August,,2346,"2,688",,0.91,,,2022   AUG,000409,2020
ED,September,,2346,"2,332",14,0.79,YES,,2022   DEC,000409,2020
ED,October,,2346,"2,304",42,0.78,YES,,2022   AUG,000409,2020
ED,November,,2346,"2,383",,0.81,,,2022   SEP,000409,2020
ED,December,,2199,"2,191",8,0.74,YES,,2022   MAY,000409,2020
IP,January,1726,1380,"1,925",,1.11,,,2023   FEB,000409,2020
IP,February,,1294,"1,734",,1.0,,,2022   SEP,000409,2020
IP,March,,1380,"1,532",,0.88,,,2022   OCT,000409,2020
IP,April,,1380,"1,181",199,0.68,YES,,2023   FEB,000409,2020
IP,May,,1380,"1,368",12,0.79,YES,,2022   OCT,000409,2020
IP,June,,1380,"1,559",,0.9,,,2023   FEB,000409,2020
IP,July,,1380,"1,725",,0.99,,,2023   MAR,000409,2020
IP,August,,1380,"1,605",,0.92,,,2023   FEB,000409,2020
IP,September,,1380,"1,677",,0.97,,,2022   DEC,000409,2020
AS,January,247,197,230,,0.93,,,2021   APR,000393,2019
AS,February,,185,194,,0.78,,,2021   APR,000393,2019
AS,March,,197,255,,1.03,,,2021   APR,000393,2019
AS,April,,197,260,,1.05,,,2021   APR,000393,2019
AS,May,,197,234,,0.94,,,2021   APR,000393,2019
AS,June,,197,240,,0.97,,,2021   APR,000393,2019
AS,July,,197,304,,1.23,,,2021   APR,000393,2019
AS,August,,197,250,,1.01,,,2021   DEC,000393,2019
AS,September,,197,262,,1.06,,,2021   APR,000393,2019
AS,October,,197,247,,1.0,,,2021   APR,000393,2019
AS,November,,197,226,,0.91,,,2021   APR,000393,2019
AS,December,,185,243,,0.98,,,2021   APR,000393,2019
ED,January,1076,860,"1,010",,0.93,,,2020   DEC,000393,2019
ED,February,,807,"1,012",,0.94,,,2020   DEC,000393,2019
ED,March,,860,"1,181",,1.09,,,2021   APR,000393,2019
ED,April,,860,"1,123",,1.04,,,2021   FEB,000393,2019
ED,May,,860,"1,196",,1.11,,,2020   DEC,000393,2019
ED,June,,860,"1,162",,1.07,,,2020   DEC,000393,2019
ED,July,,860,"1,261",,1.17,,,2020   DEC,000393,2019
ED,August,,860,"1,185",,1.1,,,2020   DEC,000393,2019
ED,September,,860,"1,125",,1.04,,,2021   APR,000393,2019
ED,October,,860,"1,121",,1.04,,,2021   NOV,000393,2019
ED,November,,860,996,,0.92,,,2021   APR,000393,2019
ED,December,,807,"1,064",,0.98,,,2021   APR,000393,2019
IP,January,195,156,173,,0.88,,,2020   DEC,000393,2019
IP,February,,146,162,,0.83,,,2022   FEB,000393,2019
IP,March,,156,189,,0.96,,,2020   DEC,000393,2019
IP,April,,156,158,,0.81,,,2022   FEB,000393,2019
IP,May,,156,168,,0.86,,,2020   DEC,000393,2019
IP,June,,156,151,5,0.77,YES,,2020   DEC,000393,2019
IP,July,,156,222,,1.13,,,2021   FEB,000393,2019
IP,August,,156,193,,0.98,,,2020   DEC,000393,2019
IP,September,,156,192,,0.98,,,2020   DEC,000393,2019
AS,January,757,605,754,,0.99,,,2019   NOV,000895,2019
AS,February,,567,650,,0.85,,,2019   NOV,000895,2019
AS,March,,605,644,,0.85,,,2019   NOV,000895,2019
AS,April,,605,686,,0.9,,,2019   NOV,000895,2019
AS,May,,605,676,,0.89,,,2019   NOV,000895,2019
AS,June,,605,675,,0.89,,,2019   NOV,000895,2019
AS,July,,605,683,,0.9,,,2019   DEC,000895,2019
AS,August,,605,608,,0.8,,,2019   DEC,000895,2019
AS,September,,605,646,,0.85,,,2019   DEC,000895,2019
AS,October,,605,657,,0.86,,,2020   APR,000895,2019
AS,November,,605,574,31,0.75,YES,,2021   MAR,000895,2019
AS,December,,567,555,12,0.73,YES,,2021   MAR,000895,2019
ED,January,2290,1832,"2,345",,1.02,,,2019   NOV,000895,2019
ED,February,,1717,"2,150",,0.93,,,2019   NOV,000895,2019
ED,March,,1832,"2,324",,1.01,,,2019   NOV,000895,2019
ED,April,,1832,"2,139",,0.93,,,2019   NOV,000895,2019
ED,May,,1832,"2,289",,0.99,,,2019   NOV,000895,2019
ED,June,,1832,"2,300",,1.0,,,2019   NOV,000895,2019
ED,July,,1832,"2,401",,1.04,,,2019   DEC,000895,2019
ED,August,,1832,"2,271",,0.99,,,2019   DEC,000895,2019
ED,September,,1832,"2,243",,0.97,,,2019   DEC,000895,2019
ED,October,,1832,"2,120",,0.92,,,2020   APR,000895,2019
ED,November,,1832,"1,997",,0.87,,,2020   APR,000895,2019
ED,December,,1717,"2,156",,0.94,,,2020   APR,000895,2019
IP,January,927,741,862,,0.92,,,2019   NOV,000895,2019
IP,February,,695,818,,0.88,,,2019   NOV,000895,2019
IP,March,,741,892,,0.96,,,2019   NOV,000895,2019
IP,April,,741,806,,0.86,,,2019   NOV,000895,2019
IP,May,,741,828,,0.89,,,2019   NOV,000895,2019
IP,June,,741,883,,0.95,,,2019   NOV,000895,2019
IP,July,,741,830,,0.89,,,2019   NOV,000895,2019
IP,August,,741,820,,0.88,,,2019   NOV,000895,2019
IP,September,,741,784,,0.84,,,2019   NOV,000895,2019
AS,January,331,264,344,,1.03,,,2020   JUL,000192,2020
AS,February,,248,354,,1.06,,,2020   JUL,000192,2020
AS,March,,264,212,52,0.64,YES,,2020   JUL,000192,2020
AS,April,,264,40,224,0.12,YES,,2020   JUL,000192,2020
AS,May,,264,177,87,0.53,YES,,2020   SEP,000192,2020
AS,June,,264,380,,1.14,,,2020   SEP,000192,2020
AS,July,,264,397,,1.19,,,2020   OCT,000192,2020
AS,August,,264,335,,1.01,,,2021   MAR,000192,2020
AS,September,,264,393,,1.18,,,2021   MAR,000192,2020
AS,October,,264,432,,1.3,,,2021   MAR,000192,2020
AS,November,,264,376,,1.13,,,2021   MAR,000192,2020
AS,December,,248,363,,1.09,,,2021   APR,000192,2020
ED,January,1785,1428,"1,816",,1.01,,,2020   JUL,000192,2020
ED,February,,1338,"1,769",,0.99,,,2020   AUG,000192,2020
ED,March,,1428,"1,348",80,0.75,YES,,2020   SEP,000192,2020
ED,April,,1428,755,673,0.42,YES,,2020   JUL,000192,2020
ED,May,,1428,"1,120",308,0.62,YES,,2021   JUN,000192,2020
ED,June,,1428,"1,391",37,0.77,NO,,2021   JUN,000192,2020
ED,July,,1428,"1,670",,0.93,,,2021   JUN,000192,2020
ED,August,,1428,"1,515",,0.84,,,2021   JUN,000192,2020
ED,September,,1428,"1,479",,0.82,,,2021   JUN,000192,2020
ED,October,,1428,"1,465",,0.82,,,2021   JUN,000192,2020
ED,November,,1428,"1,395",33,0.78,NO,,2021   MAR,000192,2020
ED,December,,1338,"1,406",,0.78,,,2021   JUN,000192,2020
IP,January,512,409,541,,1.05,,,2020   OCT,000192,2020
IP,February,,384,453,,0.88,,,2020   JUL,000192,2020
IP,March,,409,443,,0.86,,,2020   JUL,000192,2020
IP,April,,409,395,14,0.77,NO,,2020   SEP,000192,2020
IP,May,,409,405,4,0.79,NO,,2020   SEP,000192,2020
IP,June,,409,493,,0.96,,,2021   MAY,000192,2020
IP,July,,409,473,,0.92,,,2021   MAY,000192,2020
IP,August,,409,482,,0.94,,,2021   MAY,000192,2020
IP,September,,409,488,,0.95,,,2021   JUL,000192,2020
AS,January,653,522,714,,1.09,,,2021   OCT,009119,2021
AS,February,,489,669,,1.02,,,2021   OCT,009119,2021
AS,March,,522,760,,1.16,,,2021   OCT,009119,2021
AS,April,,522,752,,1.15,,,2021   OCT,009119,2021
AS,May,,522,727,,1.11,,,2021   OCT,009119,2021
AS,June,,522,805,,1.23,,,2021   OCT,009119,2021
AS,July,,522,783,,1.19,,,2021   OCT,009119,2021
AS,August,,522,746,,1.14,,,2021   NOV,009119,2021
AS,September,,522,767,,1.17,,,2021   NOV,009119,2021
AS,October,,522,741,,1.13,,,2022   JAN,009119,2021
AS,November,,522,780,,1.19,,,2021   DEC,009119,2021
AS,December,,489,681,,1.04,,,2022   JAN,009119,2021
AS,January,267,213,238,,0.89,,,2019   OCT,000518,2019
AS,February,,200,194,6,0.72,YES,,2021   APR,000518,2019
AS,March,,213,241,,0.9,,,2021   APR,000518,2019
AS,April,,213,301,,1.12,,,2019   OCT,000518,2019
AS,May,,213,298,,1.11,,,2019   NOV,000518,2019
AS,June,,213,287,,1.07,,,2019   NOV,000518,2019
AS,July,,213,260,,0.97,,,2019   NOV,000518,2019
AS,August,,213,334,,1.25,,,2019   NOV,000518,2019
AS,September,,213,294,,1.1,,,2021   APR,000518,2019
AS,October,,213,317,,1.18,,,2021   APR,000518,2019
AS,November,,213,272,,1.01,,,2021   APR,000518,2019
AS,December,,200,246,,0.92,,,2021   APR,000518,2019
ED,January,2576,2060,"2,647",,1.02,,,2019   OCT,000518,2019
ED,February,,1932,"2,474",,0.96,,,2021   APR,000518,2019
ED,March,,2060,"2,740",,1.06,,,2021   APR,000518,2019
ED,April,,2060,"2,560",,0.99,,,2019   OCT,000518,2019
ED,May,,2060,"2,640",,1.02,,,2019   NOV,000518,2019
ED,June,,2060,"2,605",,1.01,,,2019   NOV,000518,2019
ED,July,,2060,"2,690",,1.04,,,2019   NOV,000518,2019
ED,August,,2060,"2,626",,1.01,,,2021   APR,000518,2019
ED,September,,2060,"2,500",,0.97,,,2021   APR,000518,2019
ED,October,,2060,"2,591",,1.0,,,2021   APR,000518,2019
ED,November,,2060,"2,353",,0.91,,,2021   APR,000518,2019
ED,December,,1932,"2,637",,1.02,,,2021   APR,000518,2019
IP,January,818,654,857,,1.04,,,2020   AUG,000518,2019
IP,February,,613,771,,0.94,,,2020   AUG,000518,2019
IP,March,,654,880,,1.07,,,2020   AUG,000518,2019
IP,April,,654,855,,1.04,,,2020   AUG,000518,2019
IP,May,,654,858,,1.04,,,2020   AUG,000518,2019
IP,June,,654,788,,0.96,,,2020   OCT,000518,2019
IP,July,,654,851,,1.04,,,2020   AUG,000518,2019
IP,August,,654,831,,1.01,,,2019   NOV,000518,2019
IP,September,,654,785,,0.95,,,2019   NOV,000518,2019
AS,January,959,767,"1,026",,1.06,,,2022   FEB,001466,2020
AS,February,,719,"1,044",,1.08,,,2021   SEP,001466,2020
AS,March,,767,708,59,0.73,YES,,2021   JUL,001466,2020
AS,April,,767,97,670,0.1,YES,,2021   SEP,001466,2020
AS,May,,767,363,404,0.37,YES,,2021   SEP,001466,2020
AS,June,,767,844,,0.88,,,2022   AUG,001466,2020
AS,July,,767,"1,000",,1.04,,,2021   OCT,001466,2020
AS,August,,767,"1,109",,1.15,,,2022   JUL,001466,2020
AS,September,,767,"1,128",,1.17,,,2022   NOV,001466,2020
AS,October,,767,"1,285",,1.33,,,2022   NOV,001466,2020
AS,November,,767,"1,190",,1.24,,,2022   NOV,001466,2020
